utc,Label,Speed,HDOP,Satelites,Latitude,Longitude,Altitude,Roll Degrees,Pitch Degrees,Dynamic Magnitude,Jerk,Jerk Std,Acceleration X,Acceleration Y,Acceleration Z,Standard Deviation,Energy,Zero Crossings,session_id,motion_disagreement,motion_mismatch,speed_per_dyn_mag,speed_per_jerk_std
250426_101815.000,1,5.48,1.22,6,58.380669,8.678995,24.5,-5.826055,2.185771,0.018129,0.3427,1.323114,0.017064,-0.001703,-0.00588,0.066822,0.016516,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.018542,286.475133,4.110678
250426_101817.000,1,5.09,1.22,6,58.380669,8.67902,24.0,-5.879303,2.071446,0.060233,0.846324,1.30183,0.024639,-0.014559,0.053,0.07042,0.015887,18.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.069566,83.125164,3.880076
250426_101827.000,1,4.02,1.22,6,58.38068,8.679256,21.1,-6.176318,4.650103,0.209842,0.692569,1.296247,-0.202056,0.055719,-0.010119,0.084345,0.022681,16.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.379484,19.066391,3.07752
250426_101828.000,1,4.12,1.22,6,58.38068,8.679284,20.799999,-5.575155,5.152291,0.136669,2.213982,1.346287,0.093833,0.068127,-0.072336,0.080295,0.023056,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.232139,29.926789,3.037704
250426_101829.000,1,4.37,1.22,6,58.38068,8.679316,20.4,-6.283632,7.010641,0.23339,2.430528,1.059201,-0.166129,-0.067132,0.14955,0.084388,0.028335,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.42308,18.644155,4.087164
250426_101839.000,1,5.79,1.14,7,58.380772,8.679577,24.799999,-6.967679,8.349309,0.187371,2.405667,1.059964,0.042797,-0.165874,0.075909,0.078761,0.032699,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.316842,30.73722,5.411396
250426_101848.000,1,5.49,1.02,8,58.380749,8.679738,54.400002,-7.214402,9.442238,0.082993,1.303859,1.098248,-0.078771,0.015222,0.021242,0.063962,0.03516,18.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.111085,65.362946,4.953763
250426_101849.000,1,5.51,1.02,8,58.380741,8.679762,54.5,-6.982793,9.724419,0.216412,2.952255,1.299839,0.139883,0.157149,-0.050705,0.065511,0.02895,22.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.377723,25.343627,4.206625
250426_101850.000,1,5.45,1.02,8,58.380741,8.679793,54.599998,-6.384632,9.148688,0.074033,2.345375,1.918033,0.020028,0.064448,0.030434,0.072472,0.03161,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.093565,72.634958,2.826715
250426_101901.000,1,4.5,1.02,8,58.38076,8.680044,55.200001,-6.026826,9.260029,0.096383,0.984218,1.917757,-0.080593,-0.051952,-0.00977,0.067486,0.024589,17.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.147766,46.209351,2.33432
250426_101902.000,1,4.6,1.1,7,58.38076,8.680068,55.299999,-6.361743,9.207718,0.040137,0.71858,1.927365,-0.022805,0.006528,0.032378,0.068166,0.017242,15.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.034275,111.82054,2.374359
250426_101903.000,1,4.59,1.1,7,58.380772,8.680086,55.400002,-6.430016,9.091183,0.033782,0.681703,1.926354,0.007213,0.008116,-0.03199,0.068481,0.014294,17.0,gps_log_20260425_165452-Small-drive-Feviktoppen,1,0.021664,131.964469,2.370434
250426_101913.000,1,4.59,1.02,8,58.380791,8.680302,55.200001,-5.953517,8.60165,0.10076,1.384265,1.794711,0.071627,0.037749,0.059975,0.065296,0.011847,13.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.155619,45.106319,2.543344
250426_101914.000,1,3.63,1.02,8,58.380798,8.680326,54.700001,-5.528671,8.577449,0.05467,0.553738,0.579551,-0.002679,0.017066,0.051869,0.022373,0.004355,11.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.07304,65.205924,6.157232
250426_101915.000,1,3.6,1.02,8,58.38081,8.68034,54.299999,-6.403524,8.727157,0.07918,0.414185,0.46133,0.000175,-0.079058,-0.004404,0.02968,0.005275,15.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.122361,44.898775,7.637967
250426_101926.000,1,4.82,1.02,8,58.380859,8.68062,49.799999,-7.025467,8.565021,0.049222,0.523257,0.534665,0.0367,-0.031245,0.009983,0.029398,0.004974,18.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.050245,95.973324,8.849479
250426_101928.000,1,5.19,1.02,8,58.380871,8.680667,49.200001,-7.163147,8.22773,0.079961,1.279181,0.551173,0.076387,0.013141,0.019648,0.031534,0.004908,20.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.108022,64.105116,9.248479
250426_101938.000,1,4.93,1.02,8,58.38092,8.680883,46.599998,-6.713414,8.123725,0.061953,0.759095,0.5715,0.007986,0.061387,0.002449,0.031578,0.004977,18.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.074605,78.313,8.478079
250426_101939.000,1,4.84,1.02,8,58.38092,8.6809,46.400002,-6.272954,4.781094,0.410134,2.702926,1.104006,0.400234,-0.082211,-0.03556,0.107163,0.022644,18.0,gps_log_20260425_165452-Small-drive-Feviktoppen,0,0.771869,11.772309,4.344682
