Time, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Accel UTC, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
2026-04-25T16:55:56.769661,250426_101620.000000,1,58.38037109375,8.676736831665039,24.200000762939453,0.9700000882148743,1.600000023841858,5,0.0,1,250426_145535.015625,-17.944196701049805,1.5445460081100464,0.40101245045661926,2.6566808223724365,1.8134939670562744,0.014812720939517021,0.4002382159233093,0.02002304047346115,0.13578464090824127,0.08768245577812195,12.0
2026-04-25T16:55:59.767102,250426_101621.000000,1,58.38037109375,8.676735877990723,24.399999618530273,0.9700000882148743,2.059999942779541,4,0.0,1,250426_145535.015625,-16.36824607849121,1.2510535717010498,0.19028696417808533,3.343834638595581,2.721298933029175,-0.022302353754639626,0.18702659010887146,-0.027069931849837303,0.13464146852493286,0.10141192376613617,17.0
2026-04-25T16:56:02.908405,250426_101631.000000,1,58.380409240722656,8.676623344421387,35.29999923706055,0.9700000882148743,2.059999942779541,4,0.0,1,250426_145535.015625,-16.602876663208008,1.9100958108901978,0.0637444332242012,0.5635231733322144,2.725443124771118,-0.05420739948749542,-0.016300445422530174,0.029312213882803917,0.11585608869791031,0.07838951796293259,15.0
2026-04-25T16:56:05.877603,250426_101642.000000,1,58.3804817199707,8.676716804504395,36.599998474121094,3.319999933242798,1.600000023841858,5,0.0,1,250426_145535.015625,-15.708114624023438,4.0946831703186035,0.439617395401001,1.431460976600647,2.7278740406036377,-0.43673163652420044,0.031115517020225525,-0.0395064540207386,0.11915656179189682,0.07887395471334457,13.0
2026-04-25T16:56:08.899279,250426_101643.000000,1,58.380489349365234,8.676736831665039,36.400001525878906,3.369999885559082,1.600000023841858,5,0.0,1,250426_145535.015625,-14.230667114257812,6.1683735847473145,0.17009077966213226,1.7308721542358398,2.6046719551086426,-0.07989552617073059,0.1499142050743103,-0.008562246337532997,0.09747425466775894,0.05737677961587906,17.0
2026-04-25T16:56:12.024289,250426_101644.000000,1,58.380489349365234,8.676758766174316,36.29999923706055,3.4200000762939453,1.600000023841858,5,0.0,1,250426_145552.984375,-12.618559837341309,6.71969747543335,0.19672685861587524,2.189436197280884,1.3391804695129395,-0.12451343983411789,0.14113593101501465,0.0572582446038723,0.0829390436410904,0.04932950809597969,12.0
2026-04-25T16:56:15.096077,250426_101652.000000,1,58.38045883178711,8.676926612854004,36.900001525878906,3.859999895095825,1.6100000143051147,5,0.0,1,250426_145552.984375,-11.848189353942871,7.006223678588867,0.051133621484041214,0.4999784827232361,1.3113359212875366,0.02377634309232235,0.043037716299295425,0.014038780704140663,0.08739838004112244,0.04035510495305061,14.0
2026-04-25T16:56:18.063242,250426_101653.000000,1,58.38045883178711,8.676950454711914,37.099998474121094,4.019999980926514,1.6100000143051147,5,0.0,1,250426_145552.984375,-11.534529685974121,6.897439479827881,0.038029320538043976,0.2489476352930069,1.2179638147354126,0.00888374075293541,0.027298301458358765,0.024942154064774513,0.09606511145830154,0.033955834805965424,12.0
2026-04-25T16:56:21.134500,250426_101654.000000,1,58.380470275878906,8.676969528198242,37.0,3.990000009536743,1.6100000143051147,5,0.0,1,250426_145610.000000,-11.092642784118652,4.3154988288879395,0.28037863969802856,0.47575879096984863,1.12688148021698,0.2672725319862366,-0.020635876804590225,-0.08216886222362518,0.08085687458515167,0.02695661038160324,14.0
2026-04-25T16:56:24.207012,250426_101704.000000,1,58.38053894042969,8.677273750305176,35.5,5.570000171661377,1.6100000143051147,5,0.0,1,250426_145610.000000,-9.354336738586426,4.2792792320251465,0.11365068703889847,0.8238554000854492,0.823786199092865,-0.05045907571911812,0.10088314861059189,-0.013890672475099564,0.09913913160562515,0.030475150793790817,12.0
2026-04-25T16:56:27.278049,250426_101705.000000,1,58.38053894042969,8.677291870117188,35.400001525878906,5.599999904632568,1.6100000143051147,5,0.0,1,250426_145611.015625,-8.295449256896973,4.751972675323486,0.07616618275642395,0.6446723937988281,0.7767494916915894,-0.037269942462444305,0.06530700623989105,0.01213395781815052,0.09570243954658508,0.026614127680659294,10.0
2026-04-25T16:56:30.247673,250426_101727.000000,1,58.380531311035156,8.677835464477539,30.100000381469727,4.170000076293945,1.6100000143051147,5,0.0,1,250426_145611.015625,-7.863826751708984,5.346861839294434,0.10851684212684631,1.2502837181091309,0.752342164516449,-0.0858927071094513,0.03677551448345184,0.055189769715070724,0.09678764641284943,0.02434920147061348,10.0
2026-04-25T16:56:33.262780,250426_101728.000000,1,58.38053894042969,8.677863121032715,29.799999237060547,4.210000038146973,1.6100000143051147,5,0.0,1,250426_145627.015625,-6.215989112854004,5.336084365844727,0.13450057804584503,1.7656537294387817,0.854834794998169,-0.03875114023685455,0.12636367976665497,0.02491937205195427,0.08970006555318832,0.02870326302945614,14.0
2026-04-25T16:56:36.391909,250426_101738.000000,1,58.38058090209961,8.678116798400879,27.5,4.369999885559082,1.2200000286102295,6,0.0,1,250426_145627.015625,-4.94338321685791,5.2256293296813965,0.17294257879257202,0.3551716208457947,0.7607054710388184,0.01378849521279335,0.17203465104103088,-0.011094575747847557,0.08583565056324005,0.025901729241013527,14.0
2026-04-25T16:56:39.464403,250426_101740.000000,1,58.38058090209961,8.678154945373535,27.0,4.150000095367432,1.2200000286102295,6,0.0,1,250426_145627.015625,-4.887929439544678,4.644135475158691,0.03060687519609928,0.548789918422699,0.6943067312240601,0.02422490157186985,-0.018688015639781952,0.0008325186790898442,0.06031988188624382,0.014829758554697037,14.0
2026-04-25T16:56:42.426595,250426_101750.000000,1,58.380619049072266,8.67846965789795,26.399999618530273,4.150000095367432,1.2200000286102295,6,0.0,1,250426_145628.000000,-4.697305679321289,4.1538166999816895,0.039280932396650314,0.46829545497894287,0.6877874732017517,0.01880539394915104,0.024488700553774834,0.02428276091814041,0.05960208177566528,0.013173997402191162,16.0
2026-04-25T16:56:45.504500,250426_101751.000000,1,58.380619049072266,8.678492546081543,26.5,7.119999885559082,1.2200000286102295,6,0.0,1,250426_145628.000000,-4.4657368659973145,3.556422233581543,0.06384191662073135,1.018627643585205,0.8780606985092163,0.05171739682555199,0.031644586473703384,0.019993044435977936,0.06035855412483215,0.01437489502131939,16.0
2026-04-25T16:56:48.570406,250426_101752.000000,1,58.380619049072266,8.6785249710083,26.600000381469727,6.570000171661377,1.2200000286102295,6,0.0,1,250426_145628.000000,-4.350557804107666,2.68273663520813,0.09458797425031662,0.6380475163459778,0.7646523118019104,0.09283177554607391,-0.011418826878070831,-0.014098159968852997,0.04419541731476784,0.009492489509284496,18.0
2026-04-25T16:56:51.544983,250426_101802.000000,1,58.38066101074219,8.678720474243164,24.899999618530273,4.630000114440918,1.2200000286102295,6,0.0,1,250426_145628.000000,-4.559442043304443,1.6971620321273804,0.07909120619297028,2.0622329711914062,0.878229022026062,0.07859931886196136,0.0015031168004497886,-0.008677983656525612,0.039285797625780106,0.00823486689478159,20.0
2026-04-25T16:56:54.573349,250426_101803.000000,1,58.38066101074219,8.678744316101074,24.899999618530273,4.800000190734863,1.2200000286102295,6,0.0,1,250426_145646.000000,-4.702211380004883,1.5897800922393799,0.04167885333299637,0.620787501335144,0.9499900341033936,0.030089670792222023,-0.026068653911352158,-0.012335469014942646,0.04565288498997688,0.011437884531915188,20.0
2026-04-25T16:56:57.689057,250426_101804.000000,1,58.38066101074219,8.678772926330566,25.0,5.199999809265137,1.2200000286102295,6,0.0,1,250426_145646.000000,-4.664035797119141,1.3872787952423096,0.08321046084165573,1.190330147743225,1.319507122039795,0.029980793595314026,0.022270208224654198,-0.07435839623212814,0.05898691713809967,0.014636103063821793,18.0
2026-04-25T16:57:00.751094,250426_101805.000000,1,58.38066864013672,8.67879581451416,25.200000762939453,5.53000020980835,1.2200000286102295,6,0.0,1,250426_145646.000000,-5.676117897033691,2.124776840209961,0.14302103221416473,2.013888120651245,1.3245892524719238,-0.0917002484202385,-0.10757263004779816,-0.021776381880044937,0.06320177763700485,0.01696735993027687,18.0
2026-04-25T16:57:03.732376,250426_101815.000000,1,58.38066864013672,8.678995132446289,24.5,5.480000019073486,1.2200000286102295,6,0.0,1,250426_145647.015625,-5.82605504989624,2.1857707500457764,0.01812906004488468,0.34270039200782776,1.3231135606765747,0.017064152285456657,-0.00170297606382519,-0.005880256183445454,0.06682239472866058,0.016516001895070076,20.0
2026-04-25T16:57:06.794727,250426_101817.000000,1,58.38066864013672,8.679019927978516,24.0,5.090000152587891,1.2200000286102295,6,0.0,1,250426_145647.015625,-5.879302501678467,2.071446180343628,0.06023296341300011,0.8463239669799805,1.3018300533294678,0.024639276787638664,-0.014558609575033188,0.05299965292215347,0.07041952013969421,0.01588721200823784,18.0
2026-04-25T16:57:09.876225,250426_101827.000000,1,58.380680084228516,8.679256439208984,21.100000381469727,4.019999980926514,1.2200000286102295,6,0.0,1,250426_145647.015625,-6.1763176918029785,4.6501030921936035,0.20984220504760742,0.692568838596344,1.2962467670440674,-0.20205643773078918,0.055718570947647095,-0.010118933394551277,0.084344781935215,0.02268091030418873,16.0
2026-04-25T16:57:12.940711,250426_101828.000000,1,58.380680084228516,8.67928409576416,20.799999237060547,4.119999885559082,1.2200000286102295,6,0.0,1,250426_145706.000000,-5.575154781341553,5.1522908210754395,0.13666929304599762,2.213982105255127,1.3462873697280884,0.09383335709571838,0.06812703609466553,-0.07233604788780212,0.08029453456401825,0.023056305944919586,20.0
2026-04-25T16:57:15.916445,250426_101829.000000,1,58.380680084228516,8.679315567016602,20.399999618530273,4.369999885559082,1.2200000286102295,6,0.0,1,250426_145706.000000,-6.283631801605225,7.010640621185303,0.23338980972766876,2.430528163909912,1.0592008829116821,-0.1661292463541031,-0.06713241338729858,0.1495497077703476,0.08438768982887268,0.028335265815258026,20.0
2026-04-25T16:57:18.936842,250426_101839.000000,1,58.38077163696289,8.679576873779297,24.799999237060547,5.789999961853027,1.1399999856948853,7,0.0,1,250426_145707.015625,-6.967679023742676,8.349308967590332,0.18737097084522247,2.4056670665740967,1.0599641799926758,0.0427970252931118,-0.16587379574775696,0.07590898871421814,0.07876058667898178,0.032698940485715866,20.0
2026-04-25T16:57:22.049560,250426_101848.000000,1,58.3807487487793,8.67973804473877,54.400001525878906,5.489999771118164,1.0199999809265137,8,0.0,1,250426_145707.015625,-7.214402198791504,9.442237854003906,0.0829925388097763,1.303858995437622,1.0982483625411987,-0.07877089828252792,0.015221604146063328,0.021241718903183937,0.06396190077066422,0.03515971824526787,18.0
2026-04-25T16:57:25.121803,250426_101849.000000,1,58.380741119384766,8.67976188659668,54.5,5.510000228881836,1.0199999809265137,8,0.0,1,250426_145707.015625,-6.98279333114624,9.724418640136719,0.21641166508197784,2.9522552490234375,1.2998387813568115,0.13988319039344788,0.15714864432811737,-0.05070507153868675,0.06551124155521393,0.02894977480173111,22.0
2026-04-25T16:57:28.100102,250426_101850.000000,1,58.380741119384766,8.679793357849121,54.599998474121094,5.449999809265137,1.0199999809265137,8,0.0,1,250426_145723.015625,-6.384632110595703,9.148688316345215,0.0740327388048172,2.3453750610351562,1.9180327653884888,0.020027579739689827,0.064447782933712,0.03043394908308983,0.07247176766395569,0.031610388308763504,20.0
2026-04-25T16:57:31.173250,250426_101901.000000,1,58.380760192871094,8.680044174194336,55.20000076293945,4.5,1.0199999809265137,8,0.0,1,250426_145723.015625,-6.026825904846191,9.260028839111328,0.09638288617134094,0.9842179417610168,1.9177565574645996,-0.08059284836053848,-0.05195188522338867,-0.009770140051841736,0.06748625636100769,0.024589352309703827,17.0
2026-04-25T16:57:34.243127,250426_101902.000000,1,58.380760192871094,8.680068016052246,55.29999923706055,4.599999904632568,1.100000023841858,7,0.0,1,250426_145724.000000,-6.361742973327637,9.207717895507812,0.04013734310865402,0.718580424785614,1.927364706993103,-0.022805068641901016,0.006527964025735855,0.03237778693437576,0.06816565990447998,0.017242468893527985,15.0
2026-04-25T16:57:37.408491,250426_101903.000000,1,58.38077163696289,8.680086135864258,55.400001525878906,4.590000152587891,1.100000023841858,7,0.0,1,250426_145724.000000,-6.430016040802002,9.091182708740234,0.03378209099173546,0.6817029118537903,1.926354169845581,0.007212629541754723,0.008116351440548897,-0.03198957070708275,0.06848082691431046,0.014293521642684937,17.0
2026-04-25T16:57:40.285422,250426_101913.000000,1,58.38079071044922,8.680301666259766,55.20000076293945,4.590000152587891,1.0199999809265137,8,0.0,1,250426_145724.000000,-5.953516960144043,8.60165023803711,0.1007595807313919,1.384265422821045,1.7947107553482056,0.07162725925445557,0.03774897754192352,0.05997534841299057,0.06529550999403,0.011846617795526981,13.0
2026-04-25T16:57:43.356217,250426_101914.000000,1,58.38079833984375,8.680326461791992,54.70000076293945,3.630000114440918,1.0199999809265137,8,0.0,1,250426_145740.000000,-5.528670787811279,8.577448844909668,0.05466978996992111,0.5537378191947937,0.5795506834983826,-0.0026789726689457893,0.017065737396478653,0.05186877399682999,0.022372761741280556,0.004355046898126602,11.0
