Time, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Accel UTC, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
2026-04-27T17:17:28.974484,250426_153832.000000,1,58.38045120239258,8.676777839660645,84.0999984741211,0.8799999952316284,2.0,5,197.61000061035156,1,270426_161404.984375,-1.237671136856079,-0.6721549034118652,0.002737404778599739,0.04955705627799034,0.0547475665807724,-0.0014745529042556882,0.002195614157244563,0.0007059441995806992,0.0015896015102043748,1.1609738066908903e-05,20.0
2026-04-27T17:17:32.005304,250426_153842.000000,1,58.38045120239258,8.676759719848633,81.90000915527344,0.8799999952316284,2.0,5,197.61000061035156,1,270426_161426.000000,-1.232479214668274,-0.6675136089324951,0.0028387780766934156,0.036246608942747116,0.04380148649215698,-0.00016151789168361574,0.002816414926201105,-0.0003168281982652843,0.001304140081629157,8.5900201156619e-06,18.0
2026-04-27T17:17:35.043818,250426_153843.015625,1,58.38045883178711,8.676774978637695,82.9000015258789,0.8799999952316284,2.0,5,197.61000061035156,1,270426_161426.000000,-1.2329803705215454,-0.6683217287063599,0.0015038384590297937,0.019058706238865852,0.039035581052303314,-0.0010366905480623245,-0.0010697016259655356,0.0002062550192931667,0.001284054247662425,7.785361958667636e-06,20.0
2026-04-27T17:17:38.211998,250426_153844.000000,1,58.3804817199707,8.676798820495605,86.19999694824219,1.1699999570846558,2.0,5,197.61000061035156,1,270426_161426.000000,-1.2324540615081787,-0.6660627722740173,0.0025955005548894405,0.07526957243680954,0.03794911876320839,8.210696250898764e-05,0.002008942188695073,0.0016413509147241712,0.0011369289131835103,7.220176485134289e-06,18.0
2026-04-27T17:17:41.074792,250426_153854.000000,1,58.380619049072266,8.676726341247559,96.30000305175781,2.640000104904175,2.0,5,197.61000061035156,1,270426_161427.015625,-1.249854326248169,-0.6617228984832764,0.0009340301039628685,0.03381917625665665,0.040432341396808624,0.00016835379938129336,-0.0006378546240739524,0.0006612190045416355,0.0013169178273528814,7.95290179667063e-06,16.0
2026-04-27T17:17:44.152582,250426_153855.015625,1,58.380619049072266,8.67669677734375,96.90000915527344,2.7300000190734863,2.0,5,197.61000061035156,1,270426_161427.015625,-1.2388911247253418,-0.6502371430397034,0.0011455996427685022,0.06285298615694046,0.04013846442103386,0.0001234594965353608,0.0010043681832030416,0.0005370295839384198,0.0012559117749333382,7.260193797264947e-06,18.0
2026-04-27T17:17:47.231984,250426_153856.000000,1,58.380619049072266,8.676675796508789,95.80001068115234,2.8499999046325684,2.0,5,197.61000061035156,1,270426_161428.000000,-1.2386835813522339,-0.6578671932220459,0.004308451898396015,0.10013273358345032,0.04158933088183403,9.036975097842515e-05,-0.0035972553305327892,0.0023694613482803106,0.0012659603962674737,8.007845281099435e-06,20.0
2026-04-27T17:17:50.291625,250426_153906.000000,1,58.38058090209961,8.676514625549316,86.30000305175781,3.490000009536743,2.0,5,197.61000061035156,1,270426_161428.000000,-1.2303235530853271,-0.6557599306106567,0.0022653681226074696,0.06445144861936569,0.042865537106990814,-0.00020541728008538485,0.0021765504498034716,-0.0005935696535743773,0.0012338502565398812,8.659168088342994e-06,18.0
2026-04-27T17:18:05.065017,250426_153920.984375,1,58.38079071044922,8.676411628723145,98.9000015258789,4.760000228881836,2.0,5,197.61000061035156,1,270426_161428.000000,-1.2225935459136963,-0.6547002196311951,0.0023855105973780155,0.02212882600724697,0.043152593076229095,-0.0011732304701581597,0.0020602038130164146,0.0002641049795784056,0.0012425519526004791,8.711366717761848e-06,20.0
2026-04-27T17:18:05.494885,250426_153932.000000,1,58.38130187988281,8.676525115966797,96.80000305175781,19.90999984741211,2.0,5,197.61000061035156,1,270426_161448.984375,-1.220910906791687,-0.6449366807937622,0.0016441016923636198,0.022233478724956512,0.037282563745975494,0.0004844253999181092,-0.00045418497757054865,-0.0015040341531857848,0.0010661588748916984,6.9524016907962505e-06,16.0
