timestamp,packet_num,lat,lon,alt,speed,hdop,sats,course,fix
2026-03-25T13:34:41.137947,1,58.333595275878906,8.57779312133789,43.0,3.4800000190734863,1.409999966621399,7,345.95001220703125,1
2026-03-25T13:34:44.209398,2,58.333595275878906,8.57779312133789,43.0,1.590000033378601,1.409999966621399,7,270.69000244140625,1
2026-03-25T13:34:47.285433,3,58.333595275878906,8.57779312133789,43.0,1.5186400413513184,1.409999966621399,7,283.0199890136719,1
2026-03-25T13:34:50.148511,4,58.33360290527344,8.577656745910645,43.70000076293945,1.5186400413513184,1.4900000095367432,6,283.0199890136719,1
2026-03-25T13:34:53.117767,5,58.33358383178711,8.577665328979492,43.599998474121094,1.5299999713897705,1.4900000095367432,6,283.0199890136719,1
2026-03-25T13:34:56.087936,6,58.33357620239258,8.577675819396973,43.70000076293945,1.5800000429153442,1.5,6,166.5,1
2026-03-25T13:34:59.073797,7,58.33356857299805,8.577681541442871,43.599998474121094,1.5499999523162842,1.4900000095367432,6,149.85000610351562,1
2026-03-25T13:35:02.139585,8,58.33356857299805,8.57767105102539,43.5,0.0,1.5,6,234.77000427246094,1
2026-03-25T13:35:05.211716,9,58.33356857299805,8.577665328979492,43.5,0.0,1.4900000095367432,6,221.39999389648438,1
2026-03-25T13:35:08.272881,10,58.33356857299805,8.577665328979492,43.5,3.2899999618530273,1.4900000095367432,6,221.39999389648438,1
2026-03-25T13:35:11.243731,11,58.33356857299805,8.577665328979492,43.5,3.5373198986053467,1.4900000095367432,6,120.12000274658203,1
2026-03-25T13:35:14.213475,12,58.33353805541992,8.577754020690918,43.0,3.5399999618530273,1.5,6,120.12000274658203,1
