timestamp,packet_num,accel_x,accel_y,accel_z,roll,pitch,magnitude,previous_mag,jerk
2026-03-24T19:41:09.439282,1,0.0,1.7363724689590815e-38,1.731888313873242e-38,1.546875376895619e-25,1.6654819736101163e-16,2.5458354783564034e+38,2.5454012319667892e+38,5.831067755465321e-39
2026-03-24T19:41:12.417691,2,0.0,1.7363186590980514e-38,1.7303816377644e-38,-6.21435600060134e+34,-1.70540326110101e-13,3.531910571593409e+21,3.532465921722459e+21,5.831128011299287e-39
2026-03-24T19:41:15.432204,3,0.0,1.736498025301485e-38,1.7316730744291218e-38,-2.5952163061585703e-18,844555456872448.0,-1.1414685104682576e-05,-1.1413931133574806e-05,5.831001894437498e-39
2026-03-24T19:41:18.431562,4,0.0,1.7362110393759913e-38,1.7324264124835428e-38,-2.4857218009182825e+35,-1.0164480185376133e-20,200886832.0,200795856.0,13159357218816.0
2026-03-24T19:41:21.432502,5,0.0,1.736300722477708e-38,1.7312067223001945e-38,2.5952014169075443e-18,2.5522627711357046e+38,-205538754560.0,-205613842432.0,-6.803191365291339e-13
2026-03-24T19:41:24.454511,6,0.0,1.7363186590980514e-38,1.731386088503628e-38,803185152.0,-0.0007324658799916506,-6.642463606708153e-16,-6.643818330028168e-16,-6.803269969948844e-13
2026-03-24T19:41:27.459020,7,0.0,1.7363365957183948e-38,1.731386088503628e-38,-1.3475056164274176e+16,1.410699159150648e-37,1.4749395466518869e-31,1.475207206715569e-31,5.8308967970526736e-39
2026-03-24T19:41:30.435510,8,0.0,1.7363545323387381e-38,1.732031806835989e-38,-4.1524069703467964e-17,-9.285235037780368e+26,-2.787278186033859e-09,-2.786644914820613e-09,5.8312583320564694e-39
2026-03-24T19:41:34.135096,9,0.0,1.7363904055794248e-38,1.731780694151182e-38,-6.803082402973004e-13,3.786944915366131e-29,-6.040555529571638e-28,-6.0423764963340565e-28,-5.830686602283025e-39
2026-03-24T19:41:50.483141,10,0.0,1.7364800886811416e-38,1.7317448209104952e-38,4.354064331302254e-11,-1.4509195470377384e+25,-2.7215684133413687e-12,-2.7213019164473717e-12,5.831057946376071e-39
