timestamp,packet_num,accel_x,accel_y,accel_z,roll,pitch,magnitude,previous_mag,jerk
2026-03-25T13:34:41.643847,1,0.0765380859375,0.03271484375,0.9935302734375,-4.41922664642334,-1.8152996301651,0.9970108866691589,0.9970108866691589,0.0009474555845372379
2026-03-25T13:34:44.729733,2,0.077392578125,0.031005859375,0.9915771484375,-4.462886333465576,-1.7855846881866455,0.9950760006904602,0.9950760006904602,-0.0006449620123021305
2026-03-25T13:34:47.698344,3,0.075439453125,0.0321044921875,0.990234375,-4.356573581695557,-1.8515801429748535,0.9936226010322571,0.9936226010322571,-0.000484466552734375
2026-03-25T13:34:50.771593,4,0.0797119140625,0.0279541015625,0.9912109375,-4.597758769989014,-1.6102299690246582,0.9948037266731262,0.9948037266731262,0.00039370855665765703
2026-03-25T13:34:53.634145,5,0.077392578125,0.0277099609375,0.9906005859375,-4.467268466949463,-1.5974452495574951,0.9940055012702942,0.9940055012702942,-0.00026607513427734375
2026-03-25T13:34:56.599213,6,0.078369140625,0.0318603515625,0.9893798828125,-4.340859413146973,-1.787177562713623,0.9929900765419006,0.9929900765419006,-0.0003384748997632414
2026-03-25T13:34:59.676335,7,0.077880859375,0.0323486328125,0.9901123046875,-4.4975457191467285,-1.8655253648757935,0.9936972260475159,0.9936972260475159,0.0002357165067223832
2026-03-25T13:35:02.751228,8,0.0771484375,0.0311279296875,0.9918212890625,-4.447773456573486,-1.7922056913375854,0.9953041076660156,0.9953041076660156,0.0005356271867640316
2026-03-25T13:35:05.713807,9,0.0765380859375,0.031005859375,0.992919921875,-4.460054397583008,-1.8587509393692017,0.9963480234146118,0.9963480234146118,0.00034797191619873047
2026-03-25T13:35:08.718482,10,0.0784912109375,0.0322265625,0.993408203125,-4.517670631408691,-1.8522778749465942,0.997025191783905,0.997025191783905,0.0002257227897644043
2026-03-25T13:35:11.668746,11,0.076416015625,0.0350341796875,0.989990234375,-4.41383171081543,-2.02075457572937,0.9935529232025146,0.9935529232025146,-0.0011574228992685676
2026-03-25T13:35:14.835518,12,0.07763671875,0.02978515625,0.99072265625,-4.290896415710449,-1.6010465621948242,0.9942061901092529,0.9942061901092529,0.00021775563072878867
