Time,UTC Time,Label,Latitude,Longitude,Altitude,Speed,HDOP,Satelites,Course,Fix,Accel UTC,Roll Degrees,Pitch Degrees,Dynamic Magnitude,Jerk,Jerk Std,Acceleration X,Acceleration Y,Acceleration Z,Standard Deviation,Energy,Zero Crossings,Prediction,Confidence
2026-05-19T22:40:25.929535,190526_175950.000000,1,58.38045120239258,8.675681114196777,39.5,0.0,0.6899999976158142,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:40:28.975166,190526_175959.015625,1,58.38045120239258,8.675681114196777,39.5,0.0,0.7699999809265137,11,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:40:32.022693,190526_180000.000000,1,58.38045120239258,8.675681114196777,39.5,0.0,0.7300000190734863,12,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:40:50.159457,190526_175950.000000,1,58.38045120239258,8.675681114196777,39.5,0.0,0.6899999976158142,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:40:53.206095,190526_175959.015625,1,58.38045120239258,8.675681114196777,39.5,0.0,0.7699999809265137,11,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:40:56.251129,190526_180000.000000,1,58.38045120239258,8.675681114196777,39.5,0.0,0.7300000190734863,12,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:40:59.725905,190526_180010.000000,1,58.38045120239258,8.675461769104004,37.79999923706055,4.239999771118164,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:03.421786,190526_180020.000000,1,58.38045120239258,8.675195693969727,39.099998474121094,4.929999828338623,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:06.466670,190526_180028.984375,1,58.38045883178711,8.674956321716309,42.79999923706055,5.25,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:09.516291,190526_180038.000000,1,58.38045120239258,8.674747467041016,44.0,5.199999809265137,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:12.620719,190526_180039.015625,1,58.38045883178711,8.674723625183105,44.20000076293945,5.099999904632568,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:15.665441,190526_180047.015625,1,58.38045120239258,8.67453670501709,43.900001525878906,4.690000057220459,0.7799999713897705,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:18.710748,190526_180048.000000,1,58.38045120239258,8.674511909484863,43.900001525878906,4.619999885559082,0.7799999713897705,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:21.757303,190526_180056.000000,1,58.38045120239258,8.674311637878418,43.5,4.949999809265137,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:24.802282,190526_180104.984375,1,58.38045883178711,8.67408561706543,43.79999923706055,5.190000057220459,0.7099999785423279,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:31.494073,190526_180114.000000,1,58.3804817199707,8.673885345458984,42.900001525878906,4.409999847412109,0.6899999976158142,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:34.571064,190526_180122.000000,1,58.380489349365234,8.673712730407715,42.5,4.519999980926514,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:37.615928,190526_180123.015625,1,58.38050079345703,8.67369270324707,42.5,4.429999828338623,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:40.660913,190526_180131.015625,1,58.38053894042969,8.673542976379395,43.599998474121094,3.930000066757202,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:43.705723,190526_180132.000000,1,58.38053894042969,8.673526763916016,43.599998474121094,3.759999990463257,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:47.273049,190526_180140.000000,1,58.38058090209961,8.673331260681152,44.20000076293945,4.190000057220459,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:50.318659,190526_180158.000000,1,58.380680084228516,8.672924995422363,47.099998474121094,4.670000076293945,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:53.366518,190526_180207.015625,1,58.380741119384766,8.672734260559082,49.0,5.019999980926514,0.6899999976158142,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:56.411393,190526_180208.000000,1,58.380741119384766,8.67271614074707,49.20000076293945,4.909999847412109,0.6899999976158142,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:41:59.457025,190526_180216.000000,1,58.38077926635742,8.672561645507812,50.599998474121094,4.449999809265137,0.7099999785423279,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:42:02.501157,190526_180216.984375,1,58.38079071044922,8.6725435256958,50.400001525878906,4.420000076293945,0.6899999976158142,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:42:05.547516,190526_180227.015625,1,58.38085174560547,8.67233657836914,51.099998474121094,4.610000133514404,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:42:08.593089,190526_180236.000000,1,58.380889892578125,8.672163009643555,49.79999923706055,5.059999942779541,0.7799999713897705,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:42:11.638049,190526_180236.984375,1,58.38090896606445,8.672138214111328,49.79999923706055,5.139999866485596,0.699999988079071,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:42:14.682896,190526_180244.984375,1,58.38092041015625,8.671948432922363,51.0,4.739999771118164,0.6899999976158142,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:42:17.727860,190526_180246.000000,1,58.38092041015625,8.671924591064453,51.400001525878906,4.78000020980835,0.6899999976158142,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:42:20.773977,190526_180255.015625,1,58.3809814453125,8.671744346618652,51.0,4.900000095367432,0.6899999976158142,13,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:42:24.417620,190526_180256.000000,1,58.3809814453125,8.671725273132324,51.20000076293945,4.880000114440918,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:42:27.462721,190526_180306.000000,1,58.381019592285156,8.671527862548828,52.900001525878906,4.599999904632568,0.6700000166893005,14,13.970000267028809,1,,,,,,,,,,,,,,
2026-05-19T22:42:30.507752,190526_180314.000000,1,58.381038665771484,8.671358108520508,54.5,4.889999866485596,0.6700000166893005,14,88.0,1,,,,,,,,,,,,,,
