Time, UTC Time, Label, Latitude, Longitude, Altitude, Speed, HDOP, Satelites, Course, Fix, Roll Degrees, Pitch Degrees, Dynamic Magnitude, Jerk, Jerk Std, Acceleration X, Acceleration Y, Acceleration Z, Standard Deviation, Energy, Zero Crossings
2026-04-09T12:24:24.112862,,1,58.380428314208984,8.67658805847168,63.79999923706055,1.559999942779541,2.059999942779541,5,0.0,1,,,,,,,,,,,
2026-04-09T12:24:24.127230,,1,58.380428314208984,8.676592826843262,63.5,1.5399999618530273,2.059999942779541,5,0.0,1,,,,,,,,,,,
2026-04-09T12:24:26.629666,,1,58.380428314208984,8.676651954650879,63.79999923706055,2.619999885559082,2.059999942779541,5,0.0,1,,,,,,,,,,,
2026-04-09T12:24:29.135597,,1,58.38043975830078,8.676668167114258,63.5,2.619999885559082,2.059999942779541,5,0.0,1,,,,,,,,,,,
2026-04-09T12:24:31.635484,,1,58.38043975830078,8.676645278930664,62.79999923706055,3.9000000953674316,2.049999952316284,5,0.0,1,,,,,,,,,,,
2026-04-09T12:24:34.138586,,1,58.380470275878906,8.676477432250977,46.79999923706055,5.849999904632568,3.2799999713897705,4,0.0,1,,,,,,,,,,,
2026-04-09T12:24:36.643309,,1,58.3804817199707,8.676504135131836,45.70000076293945,6.150000095367432,3.2799999713897705,4,0.0,1,,,,,,,,,,,
2026-04-09T12:24:39.147336,,1,58.3804817199707,8.67654800415039,43.0,6.510000228881836,3.1500000953674316,5,0.0,1,,,,,,,,,,,
2026-04-09T12:24:41.650242,,1,58.38045883178711,8.677032470703125,25.799999237060547,16.020000457763672,1.7999999523162842,6,0.0,1,,,,,,,,,,,
2026-04-09T12:24:44.153284,,1,58.38045883178711,8.678241729736328,13.300000190734863,23.170000076293945,1.7999999523162842,6,0.0,1,,,,,,,,,,,
2026-04-09T12:24:46.656195,,1,58.3804817199707,8.678316116333008,12.699999809265137,22.709999084472656,1.7999999523162842,6,0.0,1,,,,,,,,,,,
2026-04-09T12:24:49.159201,,1,58.380550384521484,8.678430557250977,15.300000190734863,22.59000015258789,1.6299999952316284,7,0.0,1,,,,,,,,,,,
2026-04-09T12:24:51.662829,,1,58.38072967529297,8.679542541503906,13.199999809265137,27.170000076293945,1.6299999952316284,7,0.0,1,,,,,,,,,,,
2026-04-09T12:24:54.164968,,1,58.38087844848633,8.680553436279297,9.199999809265137,28.520000457763672,1.6299999952316284,7,0.0,1,,,,,,,,,,,
2026-04-09T12:24:56.668016,,1,58.380889892578125,8.680676460266113,8.800000190734863,28.450000762939453,1.6299999952316284,7,0.0,1,,,,,,,,,,,
2026-04-09T12:24:59.171026,,1,58.38106155395508,8.681673049926758,2.700000047683716,28.190000534057617,1.6299999952316284,7,0.0,1,,,,,,,,,,,
2026-04-09T12:25:01.675841,,1,58.38108825683594,8.682467460632324,6.5,28.190000534057617,1.0800000429153442,8,0.0,1,,,,,,,,,,,
2026-04-09T12:25:04.178675,,1,58.381099700927734,8.682571411132812,7.0,23.520000457763672,1.0800000429153442,8,0.0,1,,,,,,,,,,,
