time,utc_time,device_id,label,lat,lon,alt,speed,hdop,sats,course,fix,accel_x,accel_y,accel_z,roll,pitch,magnitude,previous_mag,jerk
338,105606.000,A,0,58.3813,8.676185,43.7,5.34,1.04,9,339.73,1,-0.2579346,1.039429,-0.01953125,94.33026,-77.49463,1.071132,1.071132,0.03881655
341,105607.000,A,0,58.38131,8.676172,43.5,5.15,0.89,10,334.5,1,-0.1374512,0.8249512,-0.09521484,155.0192,-78.01449,0.8417263,0.8417263,-0.07646855
344,105608.000,A,0,58.38132,8.676165,43.5,4.78,0.89,10,348.55,1,-0.1224365,0.9169922,-0.1044922,130.4787,-76.80341,0.9310123,0.9310123,0.02976201
347,105608.000,A,0,58.38132,8.676165,43.5,4.78,0.89,10,348.55,1,0.02978516,0.8994141,-0.2756348,-173.8325,-72.86838,0.9411734,0.9411734,0.003387014
350,105609.000,A,0,58.38132,8.676172,43.4,4.39,1.04,9,348.55,1,0.02099609,0.9105225,-0.2523193,-174.694,-74.43331,0.9450699,0.9450699,0.001298825
353,105625.000,A,0,58.38146,8.676169,41.8,2.05,0.89,10,348.55,1,-0.4923096,1.472412,0.2106934,66.83057,-70.01422,1.566767,1.566767,0.2072323
356,105626.000,A,0,58.38147,8.676164,41.7,2.26,0.89,10,349.73,1,-0.1348877,0.7491455,-0.09191895,132.3999,-78.87878,0.7667221,0.7667221,-0.2666815
359,105627.000,A,0,58.38149,8.676162,41.6,2.39,1.04,9,351.46,1,-0.3587646,1.094116,0.1015625,90.81083,-72.72561,1.155905,1.155905,0.1297278
362,105627.000,A,0,58.38149,8.676162,41.6,2.70392,1.04,9,334.28,1,0.06713867,1.040405,-0.2020264,-161.617,-78.72727,1.061963,1.061963,-0.0469712
365,105628.000,A,0,58.38151,8.676153,41.5,2.7,0.89,10,334.28,1,0.0670166,0.9597168,-0.2410889,-164.4654,-74.64907,0.9918021,0.9918021,-0.01754022
368,105629.000,A,0,58.38152,8.676157,41.5,2.81,0.89,10,0.19,1,-0.09509277,0.9411621,-0.37146,165.6408,-67.83354,1.016273,1.016273,0.008157055
371,105645.000,A,0,58.38176,8.676191,39.2,4.2,1.23,8,0.19,1,-0.1043701,0.9464111,-0.298584,160.7329,-71.51987,0.9978675,0.9978675,-0.006135264
374,105646.000,A,0,58.38178,8.676185,39.0,4.26,1.23,8,332.9,1,-0.02319336,1.022705,-0.3287354,175.9643,-73.81605,1.074491,1.074491,0.02554111
377,105646.000,A,0,58.38178,8.676185,39.0,4.26,1.23,8,332.9,1,-0.09265137,0.7740479,-0.1469727,147.7727,-77.34933,0.7933065,0.7933065,-0.1405921
380,105647.000,A,0,58.38179,8.67618,38.8,4.11,1.01,9,332.9,1,-0.161377,0.8225098,-0.1918945,139.9373,-73.04686,0.8598769,0.8598769,0.02219013
383,105648.000,A,0,58.3818,8.676175,38.6,4.07,1.23,8,342.19,1,-0.1705322,0.7952881,-0.2102051,140.9487,-69.08458,0.8400896,0.8400896,-0.00659577
386,105648.000,A,0,58.3818,8.676175,38.6,3.95,1.23,8,338.9,1,-0.1534424,0.7503662,-0.1782227,139.2729,-72.5982,0.786357,0.786357,-0.01791088
388,105648.000,A,0,58.3818,8.676175,38.6,3.95,1.23,8,338.9,1,-0.05395508,0.782959,-0.2712402,168.7496,-70.54591,0.8303658,0.8303658,0.01466958
391,105705.000,A,0,58.38195,8.676118,31.9,4.8,1.04,9,345.23,1,0.03759766,0.852417,-0.2729492,-172.1571,-71.2403,0.8958402,0.8958402,0.02182482
394,105705.000,A,0,58.38195,8.676118,31.9,4.93,1.04,9,338.4,1,-0.2416992,0.9848633,-0.2178955,132.0351,-71.71543,1.037233,1.037233,0.04713099
397,105705.000,A,0,58.38195,8.676118,31.9,4.93,1.04,9,338.4,1,-0.1241455,1.56189,-0.4384766,164.1916,-73.73434,1.627014,1.627014,0.1965935
400,105707.000,A,0,58.38198,8.676112,31.1,5.01,1.04,9,338.4,1,-0.03662109,1.043579,-0.2457275,171.5235,-76.60905,1.072744,1.072744,-0.1847564
403,105708.000,A,0,58.38201,8.67611,30.8,4.86,0.89,10,359.24,1,0.1821289,1.071289,0.05944824,-71.92293,-79.86061,1.088285,1.088285,0.005180359
406,105708.000,A,0,58.38201,8.67611,30.8,4.75,0.89,10,348.41,1,0.06311035,1.004395,-0.02282715,-129.6854,-83.34124,1.006634,1.006634,-0.02721711
409,105708.000,A,0,58.38201,8.67611,30.8,4.75,0.89,10,348.41,1,0.12854,0.621582,-0.03344727,-104.5854,-77.93836,0.6356142,0.6356142,-0.1236733
412,105725.000,A,0,58.38217,8.676222,29.3,4.3,1.04,9,348.41,1,0.07531738,0.6777344,-0.06103516,-129.0204,-81.85962,0.6846327,0.6846327,0.01633948
415,105726.000,A,0,58.38219,8.676243,29.0,4.28,1.04,9,21.14,1,0.1802979,0.7232666,-0.03234863,-100.1716,-75.78792,0.746102,0.746102,0.02048979
418,105727.000,A,0,58.3822,8.676248,28.8,4.25,1.04,9,3.23,1,0.07067871,0.8594971,0.01318359,-79.43413,-85.13424,0.862499,0.862499,0.03879899
421,105727.000,A,0,58.3822,8.676248,28.8,4.25,1.04,9,3.23,1,-0.03674316,0.690918,-0.1641846,172.3959,-81.58369,0.7111077,0.7111077,-0.05046375
